,uuid,axis_x,axis_y,axis_z,origin_x,origin_y,origin_z,fraction
19,431f6f49-b3a6-4024-b0fe-1534662ae5af,0,1,0,-40.0,2.0000000298,-58.2499991404,0.6259089943
20,9bc27117-c5b2-4eee-b8c9-0a9d7f0e3e2a,0,1,0,31.25,80.0,190.0,0.5282516886
21,884a5c1a-d27b-4ced-8cee-24d4a603aa14,0,1,0,-63.4510688782,9.1628875732,-7.1932466825,0.1802092999
22,404a6529-b2f3-47d1-a070-a43aa3627cf5,1,0,0,6.757007122,5.9784126422,-26.1093519926,0.4412059898
23,30fc8351-0463-447a-aebd-9c8dad1a13b8,1,0,0,64132.580078125,17977.6756640625,705.9655785194,0.1462092112
24,8e35ec95-d03c-4987-868f-9f6fe8e34db0,0,0,1,-9.6428571429,-140.163872352,-78.6483306885,0.4806422732
25,fe45e16b-08ed-453f-9f1d-d44ee2447ed0,0,1,0,4.6,6.4064508677,3.2017187476,0.2783914716
26,ea0a285b-00b1-4fb2-bb00-7afca412ce5d,0,0,1,-14.0651159952,0.1299581528,-87.5499992371,0.6276176905
27,3bd023b4-c733-43b7-911e-5a759c355fb2,0,1,0,-11.1119998169,183.7653961182,-11.6703735193,0.4486010691
28,6474d7b3-dbe8-41ea-84dc-159cbd9a98ac,0,0,1,1890.3645158248,1600.5419186679,2.4583702087,0.9143492695
29,cec1c878-074f-4f70-8a97-2c58b81a5035,0,0,1,3.231552124,-17.2017171759,21.0531401634,0.4053223357
30,fb52f882-3dd1-40fa-974e-efeb631ec324,0,0,1,0.0,0.0,0.0,0.9433894912
31,8b386206-e53e-4a10-b117-23bd62c2e785,1,0,0,0.0,54.0909090909,-381.8604651163,0.4410725711
32,9e094ff7-d1c8-4881-a451-4f1be268d3d9,0,1,0,0.0,0.0,0.0,0.9137876453
33,8d89fe5c-7f94-42d1-9514-e9a7f9bda8cd,0,0,1,12.3076923077,-2.4,8.0,0.4154693215
34,501ff85c-877c-44d9-a5e3-bcab37fecfd7,0,1,0,0.0,0.0,0.0,0.6987227838
35,bc216982-4ce7-4f4b-9b82-65d0d3ab4003,0,0,1,0.0,0.0,0.0,0.6599450269
36,5a3cf199-3494-42ce-818a-ec8b6581f943,0,0,1,0.0,0.0003128052,0.0,0.6390048403
37,029f314b-9467-4eca-9caf-9801195ea943,0,0,1,1228.3976101345,644.0987209744,11.0,0.6065502694
38,0ffe3deb-2a30-441e-9082-9c61ff100507,0,0,1,135.4838709677,21.875,-2.0,0.872907435
39,a7b9b2d6-9d25-4ffe-94ac-e8e9e04d7a2a,0,0,1,35.6597222222,3.90625,0.5,0.8306080867
40,d18f2226-09d0-4d3c-a453-51e9b7fa5cdd,0,1,0,33.3333333333,4.0,-7.4117647059,0.5747006818
41,4201a4a5-749e-417e-a28e-913614726d0d,0,0,1,0.3078948573,44.0615981647,17.7339401245,0.4534136962
42,1f002d3a-2f8b-41d3-b98c-f7c85b0dae76,0,0,1,65.1028031111,97.2687062581,-5.063700676,0.2475954973
43,c1031ae8-ed19-4df5-acca-4140a72a4317,1,0,0,57.5,19.0476190476,-38.5185185185,0.7851498535
44,331272a5-3623-4d9a-a407-dca21433f0fe,0,0,1,-5.0799999237,113.2070512038,96.8320746422,0.2933403366
45,7eab2bd1-9ccb-4e11-a24d-4cf892e68045,0,1,0,0.0,0.0,0.0,0.7788742852
46,49cf9ac0-40d9-4249-a0a4-d3d6f88adb61,0,0,1,518.0969899495,34.4009849392,12.0391221642,0.3091345332
47,c5b6638c-8dbb-47ce-81ad-d9d0ce3b6403,0,0,1,362.9628942153,0.0010290146,791.823059082,0.2565127315
48,7f46a056-9b91-45dd-8209-87c30937fc76,0,0,1,-31.6158854167,6.25,0.0,0.5004902705
49,c1bbb9cf-bb28-4850-b38f-59345e8ddb8f,0,0,1,0.0,0.0,0.0,0.7075770046
50,db373ba0-ce43-49d9-808c-be102ff3defb,0,1,0,4.3270291867,-26.9239996672,2.5399999619,0.688908297
51,70aa1e8a-6ba6-486a-8a92-7a006b7a719e,0,0,1,4.3295452812,3.3866666158,15.5574998856,0.5002146388
52,4bdce482-0112-46c0-8f17-bf24b2d4ddf7,0,0,1,84.0601913865,16.5978533427,-3.8099999428,0.6882932916
53,37225475-9ddd-4ea7-bb64-bc596cfe6dbe,0,1,0,177.5720465244,3.1749999523,-95.8454251289,0.6148096355
54,2a289735-3191-46f7-af7f-66435f213ea0,0,0,1,13.5625,-85.4651162791,10.0,0.4224069521
55,09d39c84-b239-4603-94d6-c00ee8d86e6a,0,0,1,0.2894736842,0.0,30.8039550781,0.7227895245
56,cb7429ed-7252-4e41-b0cc-e0e0b4048f06,0,0,1,-59.7863117286,17.0306136807,70.7975435257,0.1429455552
57,8f62ba7a-f9f2-423f-973e-263bfabfd613,0,1,0,0.0,0.0,0.0,0.985
58,fa5219b1-afdd-4fec-8cd1-0ac84162cbce,1,0,0,133.0,13.0476430416,48.3333333333,0.3888856862
59,20c93b61-4a02-46b1-8dd9-f5c8969800d0,0,0,1,0.0,0.0,0.0,0.9486906636
60,a0235f4c-ef06-4bda-8aa0-150fab1766cf,0,0,1,-26.2884038289,5.3966246212,154.9459991455,0.7826293343
