,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,53.0,-8.493351962e-24,-8.493351962e-24,-1.0,0.0,0.0,True,True,200,2.0,8.4000000526
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,55.0,-1.06359489e-23,-1.06359489e-23,-1.0,0.0,0.0,True,True,200,2.0,9.3999998532
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,57.0,-6.509643419e-24,-6.509643419e-24,-1.0,0.0,0.0,True,True,200,2.0,10.3999998293
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,59.0,-3.910841546e-24,-3.910841546e-24,-1.0,0.0,0.0,True,True,200,2.0,11.3999998258
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,61.5,-4.627046907e-24,-4.627046907e-24,-1.0,0.0,0.0,True,True,200,3.0,12.3999999531
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,65.0,-1.080687544e-23,-1.080687544e-23,-1.0,0.0,0.0,True,True,200,4.0,13.4000000612
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,69.5,-6.240013409e-24,-6.240013409e-24,-1.0,0.0,0.0,True,True,200,5.0,14.4000000525
29,55b5cd0c-3b21-41b8-a363-19d8106d0375,15.0,-87.5,-5.0,0.0,0.0,-1.0,True,True,244,10.0,2.0
30,8719be18-73ec-4ba7-9075-05e15d400485,-1.083335598e-24,-1.083335598e-24,57.5,0.0,0.0,1.0,True,True,168,115.0,6.0
31,cc50d9d7-c3dd-4f47-87fd-4effb9d4ee36,-20.75,-9.924124316e-24,-33.1937484741,0.0,0.0,-1.0,True,True,192,1.0,9.0799999237
31,cc50d9d7-c3dd-4f47-87fd-4effb9d4ee36,20.75,-9.924124316e-24,-33.1937484741,0.0,0.0,-1.0,True,True,192,1.0,9.0799999237
32,f47aa7fe-4141-4618-ab2a-0b650f513a08,1.0,-7.52316396e-25,6.8499999046,-1.608852528e-21,7.194290789e-20,1.0,True,True,0,7.6999998093,5.0
32,f47aa7fe-4141-4618-ab2a-0b650f513a08,1.0,-2.166671135e-24,-4.3499999046,0.0,0.0,-1.0,True,True,0,10.6999998093,6.0
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,40.49477005,73.8950004578,1.8065785319,0.0,0.0,1.0,True,True,0,4.3868429363,3.0499992371
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,40.4947704424,131.8950012358,1.8065785319,0.0,0.0,1.0,True,True,0,4.3868429363,3.0499999725
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,45.0890007019,185.1580047607,-20.5219278336,0.0,0.0,1.0,True,True,0,4.3999996185,3.0
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,45.0890007019,172.6580047607,-20.5219278336,0.0,0.0,1.0,True,True,0,4.3999996185,3.0
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,63.49477005,73.8950004578,1.8065785319,0.0,0.0,1.0,True,True,0,4.3868429363,3.0499992371
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,63.494770272,131.8950012358,1.8065785319,0.0,0.0,1.0,True,True,0,4.3868429363,3.0499996908
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,66.0889987946,172.6580047607,-20.5219278336,0.0,0.0,1.0,True,True,0,4.3999996185,3.0
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,66.0889987946,185.1580047607,-20.5219278336,0.0,0.0,1.0,True,True,0,4.3999996185,3.0
